instance,row,col,x,y
u_spu26/node_33,22,24,0.12962962962962962,0.2777777777777778
u_spu26/node_34,24,24,0.12962962962962962,0.31481481481481477
u_spu26/node_35,19,29,0.16666666666666666,0.24074074074074073
u_spu26/node_36,24,29,0.16666666666666666,0.31481481481481477
u_spu26/node_37,19,34,0.2037037037037037,0.24074074074074073
u_spu26/node_38,22,34,0.2037037037037037,0.2777777777777778
u_spu26/node_39,24,34,0.2037037037037037,0.31481481481481477
u_spu26/node_40,5,39,0.24074074074074073,0.018518518518518517
u_spu26/node_41,8,39,0.24074074074074073,0.05555555555555555
u_spu26/node_42,10,39,0.24074074074074073,0.09259259259259259
u_spu26/node_43,5,43,0.2777777777777778,0.018518518518518517
u_spu26/node_44,10,43,0.2777777777777778,0.09259259259259259
u_spu26/node_45,5,48,0.31481481481481477,0.018518518518518517
u_spu26/node_46,8,48,0.31481481481481477,0.05555555555555555
